"Woonplaatsen in Nederland 2018"
""
"";"Onderwerp"
"";"Gemeente|Naam ";"Gemeente|Code ";"Provincie|Naam";"Provincie|Code";"Landsdeel|Naam";"Landsdeel|Code"
"Anloo";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Anna Paulowna";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Annen";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Annerveenschekanaal";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ansen";"DeWolden";"GM1690";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ter Apel";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Apeldoorn";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Ter Apelkanaal";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Appelscha";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Appeltern";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Appingedam";"Appingedam";"GM0003";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Arcen";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Arkel";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Arnemuiden";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Arnhem";"Arnhem";"GM0202";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Arriën";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Arum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Asch";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Asperen";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Assen";"Assen";"GM0106";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Assendelft";"Zaanstad";"GM0479";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Asten";"Asten";"GM0743";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Augsbuurt";"KollumerlandenNieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Augustinusga";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Austerlitz";"Zeist";"GM0355";"Utrecht";"PV26";"West-Nederland";"LD03"
"Avenhorn";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Axel";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Azewijn";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baaiduinen";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baaium";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baak";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Baambrugge";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baard";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baarland";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Baarle-Nassau";"Baarle-Nassau";"GM0744";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Baarlo";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baarlo";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Baarn";"Baarn";"GM0308";"Utrecht";"PV26";"West-Nederland";"LD03"
"Baars";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Babberich";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Babyloniënbroek";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bad Nieuweschans";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Badhoevedorp";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Baexem";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Baflo";"Winsum";"GM0053";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Bakel";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bakhuizen";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bakkeveen";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balgoij";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Balinge";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balk";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Balkbrug";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Balloërveld";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Balloo";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Ballum";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Baneheide";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Banholt";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bant";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bantega";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Barchem";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barendrecht";"Barendrecht";"GM0489";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Barger-Compascuum";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Barneveld";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Barsingerhorn";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Basse";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Batenburg";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bathmen";"Deventer";"GM0150";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bavel";"Breda";"GM0758";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bavel AC";"Alphen-Chaam";"GM1723";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bears";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bedum";"Bedum";"GM0005";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beegden";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beek";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beek en Donk";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beekbergen";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beemte Broekland";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beers NB";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beerta";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beerze";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beerzerveld";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beesd";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beesel";"Beesel";"GM0889";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beets";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Beetsterzwaag";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Beilen";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Beinsdorp";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Belfeld";"Venlo";"GM0983";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bellingwolde";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Beltrum";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Belt-Schutsloot";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bemelen";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bemmel";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beneden-Leeuwen";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bennebroek";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bennekom";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Benneveld";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Benningbroek";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Benschop";"Lopik";"GM0331";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bentelo";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Benthuizen";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bentveld";"Zandvoort";"GM0473";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berg en Dal";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berg en Terblijt";"ValkenburgaandeGeul";"GM0994";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergambacht";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bergeijk";"Bergeijk";"GM1724";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergen (NH)";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen aan Zee";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Bergen L";"Bergen(L.)";"GM0893";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bergen op Zoom";"BergenopZoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergentheim";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bergharen";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Berghem";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Bergschenhoek";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Beringe";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Berkel en Rodenrijs";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkel-Enschot";"Tilburg";"GM0855";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berkenwoude";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Berkhout";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Berlicum";"Sint-Michielsgestel";"GM0845";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Berltsum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bern";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Best";"Best";"GM0753";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beugen";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Beuningen";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Beuningen Gld";"Beuningen";"GM0209";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beusichem";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Beutenaken";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Beverwijk";"Beverwijk";"GM0375";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Biddinghuizen";"Dronten";"GM0303";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Bierum";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Biervliet";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biervliet";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Biest-Houtakker";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biezenmortel";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Biggekerke";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"De Bilt";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bilthoven";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Bingelrade";"Onderbanken";"GM0881";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bitgum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bitgummole";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bladel";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Blankenham";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Blaricum";"Blaricum";"GM0376";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blauwestad";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blauwhuis";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleiswijk";"Lansingerland";"GM1621";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Blesdijke";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bleskensgraaf ca";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"De Blesse";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blessum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blije";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Blijham";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Blitterswijck";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bloemendaal";"Bloemendaal";"GM0377";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokker";"Hoorn";"GM0405";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Blokzijl";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Boazum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bocholtz";"Simpelveld";"GM0965";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Bodegraven";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Boekel";"Boekel";"GM0755";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Boelenslaan";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boer";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ten Boer";"TenBoer";"GM0009";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boerakker";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boerakker";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Boesingheliede";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Boijl";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boksum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Bolsward";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Den Bommel";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bontebok";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boornbergum";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Boornzwaag";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Borculo";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Borger";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Borgercompagnie";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Borgercompagnie";"Veendam";"GM0047";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Borgsweer";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Born";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Borne";"Borne";"GM0147";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bornerbroek";"Almelo";"GM0141";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Bornwird";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Borssele";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Bosch en Duin";"Zeist";"GM0355";"Utrecht";"PV26";"West-Nederland";"LD03"
"Boschoord";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Boskoop";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bosschenhoofd";"Halderberge";"GM1655";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Botlek Rotterdam";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Bourtange";"Westerwolde";"GM1950";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Bovenkarspel";"StedeBroec";"GM0532";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Boven-Leeuwen";"WestMaasenWaal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Bovensmilde";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
